filename,query,gold-text
"['01_alexnet_imagenet_2012.txt']","What dataset did AlexNet train on and why was it important?","('We trained a large convolutional neural network on the ImageNet LSVRC-2010 dataset (1.2M high-resolution images, 1000 classes); ImageNet provided the scale necessary to demonstrate deep CNNs\' effectiveness for large-scale visual recognition.',)"
"['02_resnet_1512_03385.txt']","What key architectural change does ResNet introduce to enable training much deeper networks?","('ResNet introduces residual connections (identity shortcuts) that let gradients bypass layers, enabling effective training of very deep networks by mitigating vanishing gradients.',)"
"['03_vgg_1409_1556.txt']","What is the main design principle of VGG networks?","('VGG uses a very uniform architecture of small 3x3 convolutional filters stacked deeply, showing that increased depth with simple building blocks improves representation.',)"
"['04_googlenet_1409_4842.txt']","How did GoogLeNet (Inception) change convolutional network design?","('GoogLeNet introduced Inception modules that compute multiple filter sizes in parallel and concatenate outputs, improving efficiency and representational power with fewer parameters.',)"
"['05_batchnorm_1502_03167.txt']","What problem does Batch Normalization address and how?","('BatchNorm reduces internal covariate shift by normalizing layer inputs across a mini-batch and applying learned scale and shift, which stabilizes and speeds training.',)"
"['06_dropout_1207_0580.txt']","Why is dropout used during training and what effect does it have?","('Dropout randomly zeros activations during training to prevent co-adaptation and overfitting, acting like model ensembling and improving generalization.',)"
"['07_transformer_1706_03762.txt']","What are the two main components of the Transformer architecture?","('The Transformer uses multi-head self-attention layers and position-wise feed-forward networks (with residual connections and layer normalization) in both encoder and decoder stacks.',)"
"['08_bert_1810_04805.txt']","What pretraining tasks does BERT use?","('BERT is pretrained using Masked Language Modeling (MLM) and Next Sentence Prediction (NSP) to learn bidirectional contextual representations.',)"
"['09_vit_2010_11929.txt']","How does Vision Transformer (ViT) process images differently from CNNs?","('ViT splits an image into patches, embeds them as tokens, and processes them with a standard Transformer encoder, relying on self-attention rather than convolutional inductive bias.',)"
"['10_efficientnet_1905_11946.txt']","What idea underlies EfficientNet's scaling method?","('EfficientNet uses compound scaling to jointly scale depth, width, and input resolution with a simple set of coefficients to produce efficient models across sizes.',)"
"['11_nas_rl_1611_01578.txt']","What does NAS with reinforcement learning aim to automate?","('NAS-RL automates neural architecture search by using an RL controller to propose architectures that are trained and evaluated, enabling discovery of high-performing architectures without manual design.',)"
"['12_ddpm_2006_11239.txt']","What is the core idea behind Denoising Diffusion Probabilistic Models (DDPM)?","('DDPMs model data generation as learning to reverse a gradual noising (diffusion) process, training a model to denoise and sample by reversing the diffusion.',)"
"['13_score_sde_2011_13456.txt']","How do score-based models / SDEs relate to diffusion models?","('Score-based models estimate data score functions and can be cast as stochastic differential equations (SDEs) whose reverse process produces samples by integrating estimated scores over time.',)"
"['14_simclr_2002_05709.txt']","What is the main training objective in SimCLR?","('SimCLR uses a contrastive learning objective that pulls together representations from augmented views of the same image and pushes apart views from different images, using a projection head and large batch or memory for negatives.',)"
"['15_gcn_1609_02907.txt']","What problem do Graph Convolutional Networks (GCNs) address?","('GCNs generalize convolution to graph-structured data by aggregating and transforming neighbor features, enabling representation learning on graphs for node classification and related tasks.',)"
"['16_neural_ode_1806_07366.txt']","How do Neural ODEs parameterize continuous-depth networks?","('Neural ODEs define the derivative of hidden state with a neural network and compute outputs by integrating this ODE (e.g., with an ODE solver), treating depth as a continuous variable.',)"
"['17_unet_1505_04597.txt']","What is the U-Net architecture primarily used for and what is its structure?","('U-Net is used for image segmentation and features an encoder-decoder with skip connections that transfer high-resolution features from encoder to decoder to recover spatial detail.',)"
"['18_alphazero_1712_01815.txt']","What search algorithm does AlphaZero use instead of alpha-beta search?","('AlphaZero uses Monte-Carlo Tree Search (MCTS) guided by a neural network policy and value function, replacing handcrafted alpha-beta heuristics.',)"
"['19_deepspeed_zero_1910_02054.txt']","What problem does ZeRO (in DeepSpeed) solve?","('ZeRO shards optimizer states, gradients, and parameters across data-parallel ranks to reduce memory footprint and enable training of larger models efficiently.',)"
"['20_megatron_lm_1909_08053.txt']","What parallelism strategy does Megatron-LM use to scale transformer training?","('Megatron-LM implements tensor (model) parallelism by splitting large matrix multiplications across GPU ranks and combines it with data parallelism to scale model training.',)"
"['21_gpt3_2005_14165.txt']","What capability did GPT-3 demonstrate compared to earlier models?","('GPT-3 showed strong few-shot and zero-shot generalization by scaling model size (175B params), enabling many tasks without task-specific fine-tuning.',)"
"['22_gshard_2006_16668.txt']","What is the core idea of GShard and MoE layers?","('GShard uses Mixture-of-Experts to route tokens to different expert sub-networks, increasing model capacity with conditional computation while keeping per-token cost low.',)"
"['23_flashattention_2205_14135.txt']","What does 'IO-aware' mean in the context of FlashAttention?","('IO-aware means designing attention algorithms while carefully accounting for reads/writes across memory hierarchies (on-chip SRAM vs HBM) to reduce costly data movement and improve performance.',)"
"['24_fsdp_2304_11277.txt']","What does FSDP (Fully Sharded Data Parallel) do?","('FSDP shards model parameters, gradients, and optimizer state across workers with careful synchronization to reduce memory consumption and support larger models.',)"
"['25_lora_2106_09685.txt']","What is LoRA and how does it enable efficient fine-tuning?","('LoRA injects low-rank adapters into weight updates, fine-tuning only small low-rank matrices while keeping original weights frozen, significantly reducing tuning cost and storage.',)"
"['A Survey of LLM __times_ DATA.txt']","What does a survey of LLM timelines typically summarize?","('Such a survey summarizes major LLM milestones, architectures, scaling trends, and practical trade-offs (compute, data, inference costs) across years.',)"
